window_months,portfolio_size,avg_actual_holdings,port_cum_return,port_ann_return,port_sharpe,port_max_dd,bench_cum_return,bench_ann_return,bench_sharpe,bench_max_dd
1,10,9.8,6.009156395034639,0.30810784971802563,0.5479368362620478,-0.5130843961948539,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
1,20,19.6,5.803359561803203,0.30274196538732223,0.8026742222413279,-0.42158916026722704,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
1,50,48.9,3.1467813269383402,0.21675050665458917,0.8011713508488333,-0.3919592743097562,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
3,10,10.0,5.9126265325276055,0.2978075752890148,0.5278494693594441,-0.4724667835386669,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
3,20,20.0,6.206849904824083,0.30512189509882437,0.7955889196668329,-0.44170225090056814,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
3,50,50.0,3.980228587013615,0.24168415294896173,0.8619609783509967,-0.43118138332820033,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
6,10,10.0,6.304197548678111,0.3074850837969947,0.5471828690240134,-0.4910148875427287,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
6,20,20.0,4.023371465801511,0.24312906173457827,0.6156181756958797,-0.5234077780286238,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
6,50,50.0,3.9175374927912943,0.2395651283202349,0.8135834357854758,-0.440124749111236,2.6613685419767203,0.19123342019580436,0.8273444419929507,-0.36779690470939364
