signal,window_months,portfolio_size,avg_actual_holdings,ann_return,sharpe,max_dd
net_dollar_value,3,20,20.0,0.30468861277134995,0.793316670264365,-0.44170225090056814
net_dollar_value,3,50,50.0,0.24034995056638864,0.8570345549446262,-0.43118138332820033
buyer_count,3,20,20.0,0.19280689618730373,0.6820832746149321,-0.4159369736878462
buyer_count,3,50,48.0,0.21841951719895714,0.7651331683216234,-0.4273328243576613
value_per_buyer,3,20,16.9,0.18095035889620914,0.6506136732620175,-0.4237881085854607
value_per_buyer,3,50,20.0,0.18128020743323292,0.6520207975373621,-0.42378810858546057
