horizon,p_mean,p_median,p_n,p_win,p_pval,s_mean,s_median,s_n,s_win,s_pval,bench
1d,0.006292580512081741,0.0064557528146693,6443,0.5964612758031973,1.6562888356975366e-15,-0.0008586760955934846,-8.28296362972436e-05,81085,0.49546771906024545,3.769570033590705e-67,0.0007778062409184
5d,0.007038618594648319,0.0103305742729939,6443,0.5775259972062704,0.015524408220196951,0.0009176056306021678,0.0020704407949889,81085,0.5179379663316273,4.317048659481594e-40,0.0038040144580282
10d,0.013836942984387743,0.0154180782901158,6443,0.594288374980599,6.112458824508134e-05,0.002783860538160751,0.0026349511152281,81085,0.5159770611087131,1.0526847262132092e-33,0.0074351391893991
20d,0.03124496837885651,0.0224164194311868,6443,0.6108955455533137,1.6741649251784726e-15,0.007244233621707622,0.0040347984294362,81085,0.5216871184559413,3.333843595843603e-67,0.0147798932033775
6m,0.19365489914300754,0.1047413407687551,6315,0.6639746634996041,1.6612832816373078e-38,0.07451921479263668,0.030658815801651848,78688,0.5453055103700691,4.467622709935465e-67,0.0960180332509114
1y,0.5125587694045095,0.2192095128636138,6029,0.7040968651517665,6.852457104425022e-58,0.13731682267410417,0.0583963464020154,73779,0.5591157375404926,2.832740063543106e-271,0.20775447061582
2y,1.0547985389697898,0.4053810695103611,5338,0.7911202697639566,3.0423598402834044e-47,0.2647140919764826,0.1476014601712945,63650,0.6084996072270228,0.0,0.4410596427869991
